2023-7-18 16:32:0,27.98,73.40,98393.82,246.95,2.19,401.86,3.00,10.00,12.00,13.00
2023-7-18 16:32:1,27.99,73.36,98394.18,246.92,1.97,401.72,2.80,11.00,12.00,13.00
2023-7-18 16:32:1,27.98,73.30,98394.00,246.93,3.38,402.55,3.93,11.00,12.00,13.00
2023-7-18 16:32:2,27.99,73.27,98394.00,246.93,2.24,401.88,3.03,11.00,12.00,13.00
2023-7-18 16:32:4,27.99,73.20,98394.69,246.88,2.32,401.93,3.10,12.00,13.00,14.00
2023-7-18 16:32:13,28.00,72.64,98395.45,246.81,2.34,401.95,3.12,10.00,16.00,16.00
2023-7-18 17:20:42,29.88,76.59,98403.12,246.16,4.14,402.95,4.46,13.00,16.00,17.00
2023-7-18 17:20:43,29.87,76.60,98403.13,246.16,4.20,402.98,4.50,13.00,17.00,18.00
2023-7-18 17:20:43,29.87,76.55,98402.95,246.17,7.09,404.36,6.26,14.00,18.00,18.00
2023-7-18 17:20:44,29.88,76.59,98402.95,246.17,6.22,403.96,5.76,11.00,14.00,15.00
2023-7-18 17:20:46,29.87,76.54,98402.95,246.17,4.16,402.96,4.48,12.00,14.00,15.00
2023-7-18 17:20:55,29.88,76.56,98403.16,246.15,4.32,403.04,4.58,11.00,21.00,22.00
2023-7-18 17:21:4,29.89,76.51,98403.70,246.11,6.65,404.16,6.01,11.00,19.00,20.00
2023-7-18 17:21:14,29.90,76.53,98404.61,246.03,4.21,402.98,4.51,11.00,20.00,21.00
2023-7-18 17:21:23,29.90,76.53,98404.62,246.03,3.59,402.66,4.08,11.00,19.00,20.00
2023-7-18 17:21:33,29.90,76.53,98403.77,246.10,4.37,403.07,4.62,13.00,19.00,21.00
2023-7-18 17:21:42,29.91,76.48,98403.57,246.12,3.60,402.66,4.09,12.00,19.00,19.00
2023-7-18 17:21:52,29.90,76.47,98403.92,246.09,3.52,402.62,4.03,10.00,15.00,15.00
2023-7-18 17:22:2,29.92,76.48,98404.27,246.06,3.24,402.46,3.82,12.00,19.00,19.00
2023-7-18 17:22:11,29.94,76.45,98405.53,245.95,2.39,401.98,3.16,12.00,18.00,18.00
2023-7-18 17:22:21,29.95,76.37,98405.77,245.93,2.43,402.00,3.19,14.00,21.00,21.00
2023-7-18 17:22:30,29.94,76.34,98405.27,245.97,2.40,401.99,3.17,13.00,19.00,19.00
2023-7-18 17:22:40,29.94,76.38,98405.43,245.96,3.64,402.68,4.12,14.00,19.00,20.00
2023-7-18 17:22:49,29.95,76.38,98405.64,245.94,2.47,402.03,3.23,12.00,18.00,18.00
2023-7-18 17:22:59,29.94,76.34,98405.12,245.99,2.51,402.05,3.26,11.00,18.00,18.00
2023-7-18 17:23:8,29.96,76.30,98405.12,245.99,2.30,401.92,3.08,11.00,17.00,17.00
2023-7-18 17:23:18,29.94,76.17,98405.12,245.99,2.29,401.92,3.08,12.00,18.00,18.00
2023-7-18 17:23:27,29.94,76.18,98405.66,245.94,2.40,401.99,3.17,12.00,20.00,20.00
2023-7-18 17:23:37,29.95,76.23,98405.84,245.92,3.53,402.62,4.04,12.00,20.00,20.00
2023-7-18 17:23:46,29.97,76.31,98407.07,245.82,2.15,401.83,2.96,11.00,17.00,17.00
2023-7-18 17:23:55,29.96,76.34,98407.07,245.82,2.30,401.92,3.08,12.00,17.00,17.00
