2023-7-16 9:16:4,29.24,67.64,98623.41,227.39,8.49,404.97,7.00,11.00,16.00,16.00
2023-7-16 9:16:14,29.27,67.60,98623.63,227.38,5.10,403.43,5.09,11.00,16.00,17.00
2023-7-16 9:16:23,29.26,67.63,98623.11,227.42,4.85,403.30,4.93,11.00,16.00,16.00
2023-7-16 9:16:33,29.25,67.61,98623.82,227.36,7.91,404.72,6.70,10.00,15.00,15.00
2023-7-16 9:16:42,29.27,67.62,98624.70,227.28,4.85,403.30,4.93,11.00,16.00,16.00
2023-7-16 9:16:52,29.28,67.61,98624.70,227.28,4.37,403.07,4.62,10.00,17.00,17.00
2023-7-16 9:17:2,29.26,67.59,98624.75,227.28,4.75,403.26,4.86,10.00,17.00,18.00
2023-7-16 9:17:11,29.27,67.60,98625.28,227.23,4.83,403.30,4.92,10.00,15.00,16.00
2023-7-16 9:17:20,29.28,67.58,98625.95,227.18,4.88,403.32,4.95,10.00,15.00,16.00
2023-7-16 9:17:30,29.28,67.61,98627.19,227.07,7.69,404.62,6.59,11.00,17.00,18.00
2023-7-16 9:17:39,29.27,67.63,98627.89,227.01,4.93,403.35,4.98,12.00,18.00,18.00
2023-7-16 9:17:48,29.28,67.62,98627.72,227.03,4.94,403.35,4.99,12.00,18.00,18.00
2023-7-16 9:17:58,29.27,67.60,98628.81,226.93,8.25,404.87,6.88,12.00,17.00,17.00
2023-7-16 9:18:8,29.28,67.62,98627.94,227.01,4.93,403.35,4.98,11.00,18.00,18.00
2023-7-16 9:18:17,29.29,67.61,98626.91,227.10,5.07,403.41,5.07,10.00,17.00,17.00
2023-7-16 9:18:27,29.30,67.58,98627.09,227.08,4.24,403.00,4.53,10.00,15.00,15.00
2023-7-16 9:18:36,29.29,67.58,98627.10,227.08,4.99,403.38,5.02,10.00,15.00,16.00
2023-7-16 9:18:46,29.29,67.57,98627.45,227.05,4.85,403.30,4.93,9.00,14.00,15.00
